Date,AdjClose
11/15/13,70.345338
11/18/13,69.493133
11/19/13,69.61641
11/20/13,69.006737
11/21/13,69.829459
11/22/13,69.649907
11/25/13,70.177844
11/26/13,71.47222
11/27/13,73.155183
11/29/13,74.509856
12/2/13,73.861333
12/3/13,75.883292
12/4/13,75.706424
12/5/13,76.095003
12/6/13,75.039131
12/9/13,75.898034
12/10/13,75.780116
12/11/13,75.218683
12/12/13,75.108809
12/13/13,74.290108
12/16/13,74.701473
12/17/13,74.365147
12/18/13,73.799691
12/19/13,72.954191
12/20/13,73.565202
12/23/13,76.388451
12/24/13,76.064182
12/26/13,75.559031
12/27/13,75.048512
12/30/13,74.302166
12/31/13,75.173127
1/2/14,74.115916
1/3/14,72.487897
1/6/14,72.883175
1/7/14,72.361944
1/8/14,72.820202
1/9/14,71.890282
1/10/14,71.410585
1/13/14,71.78443
1/14/14,73.212803
1/15/14,74.68271
1/16/14,74.265993
1/17/14,72.446356
1/21/14,73.5719
1/22/14,73.898845
1/23/14,74.524597
1/24/14,73.169924
1/27/14,73.763517
1/28/14,67.86779
1/29/14,67.097328
1/30/14,66.967353
1/31/14,67.077227
2/3/14,67.201842
2/4/14,68.174641
2/5/14,68.683814
2/6/14,69.084152
2/7/14,70.050636
2/10/14,71.305586
2/11/14,72.24511
2/12/14,72.239718
2/13/14,73.386829
2/14/14,73.327525
2/18/14,73.597115
2/19/14,72.435175
2/20/14,71.596744
2/21/14,70.801449
2/24/14,71.111483
2/25/14,70.371454
2/26/14,69.736564
2/27/14,71.127659
2/28/14,70.934895
3/3/14,71.139789
3/4/14,71.608874
3/5/14,71.759849
3/6/14,71.542825
3/7/14,71.501042
3/10/14,71.565739
3/11/14,72.262632
3/12/14,72.332728
3/13/14,71.529348
3/14/14,70.725962
3/17/14,71.002298
3/18/14,71.630442
3/19/14,71.611574
3/20/14,71.266496
3/21/14,71.828591
3/24/14,72.680505
3/25/14,73.462316
3/26/14,72.760031
3/27/14,72.447305
3/28/14,72.366426
3/31/14,72.35025
4/1/14,73.012099
4/2/14,73.133415
4/3/14,72.626585
4/4/14,71.687061
4/7/14,70.561511
4/8/14,70.557472
4/9/14,71.484867
4/10/14,70.562864
4/11/14,70.041206
4/14/14,70.320227
4/15/14,69.818789
4/16/14,69.960326
4/17/14,70.759667
4/21/14,71.599444
4/22/14,71.670885
4/23/14,70.734053
4/24/14,76.532965
4/25/14,77.09506
4/28/14,80.08079
4/29/14,79.843544
4/30/14,79.541602
5/1/14,79.728974
5/2/14,79.877249
5/5/14,81.006831
5/6/14,80.123926
5/7/14,79.843544
5/8/14,79.701223
5/9/14,79.369131
5/12/14,80.357279
5/13/14,80.48334
5/14/14,80.498245
5/15/14,79.813726
5/16/14,80.991646
5/19/14,81.951331
5/20/14,81.967597
5/21/14,82.184472
5/22/14,82.314595
5/23/14,83.244461
5/27/14,84.803273
5/28/14,84.583683
5/29/14,86.124868
5/30/14,85.802266
6/2/14,85.212629
6/3/14,86.417653
6/4/14,87.404447
6/5/14,87.747384
6/6/14,87.506113
6/9/14,88.906324
6/10/14,89.428189
6/11/14,89.058142
6/12/14,87.568463
6/13/14,86.610132
6/16/14,87.483064
6/17/14,87.369207
6/18/14,87.46409
6/19/14,87.160461
6/20/14,86.259066
6/23/14,86.183157
6/24/14,85.661292
6/25/14,85.737201
6/26/14,86.249576
6/27/14,87.274325
6/30/14,88.17572
7/1/14,88.735532
7/2/14,88.697585
7/3/14,89.219443
7/7/14,91.060195
7/8/14,90.471912
7/9/14,90.509866
7/10/14,90.177774
7/11/14,90.348565
7/14/14,91.515634
7/15/14,90.443448
7/16/14,89.931073
7/17/14,88.327531
7/18/14,89.59898
7/21/14,89.134051
7/22/14,89.874145
7/23/14,92.217781
7/24/14,92.065964
7/25/14,92.673221
7/28/14,93.954154
7/29/14,93.346896
7/30/14,93.128667
7/31/14,90.709122
8/1/14,91.212006
8/4/14,90.699631
8/5/14,90.253683
8/6/14,90.101865
8/7/14,90.092335
8/8/14,90.340255
8/11/14,91.532205
8/12/14,91.513137
8/13/14,92.724154
8/14/14,92.972082
8/15/14,93.429794
8/18/14,94.554995
8/19/14,95.861367
8/20/14,95.89951
8/21/14,95.909048
8/22/14,96.61468
8/25/14,96.824465
8/26/14,96.204649
8/27/14,97.387061
8/28/14,97.501491
8/29/14,97.739881
9/2/14,98.502732
9/3/14,94.345211
9/4/14,93.563292
9/5/14,94.373816
9/8/14,93.792144
9/9/14,93.439324
9/10/14,96.309541
9/11/14,96.719572
9/12/14,96.938894
9/15/14,96.910281
9/16/14,96.176044
9/17/14,96.862608
9/18/14,97.062855
9/19/14,96.271398
9/22/14,96.366753
